id,name_CHN,start date,end date,subject type,alma mater
1139085,馬中平,2002 / 3,2003 / 1,未知,中央黨校中青年幹部培訓班
1140015,馬世昌,1954,1956,經濟與管理,安徽省供銷總社幹校
1140015,馬世昌,1983,,社會科學與法律,江西省行政管理幹部學校
1139257,馬世忠,1994 / 1,1995 / 12,,吉林大學中共黨史專業研究生學習，獲法學碩士學位
1139257,馬世忠,2003 / 9,2006 / 6,,中國海洋大學環境科學與工程學院環境科學專業研究生學習，獲工學博士學位
1144784,馬三剛,1971,1974,社會科學與法律,中央民族學院政治係系政治理論專業
1144784,馬三剛,2004,2005,社會科學與法律,中央黨校在職研究生班馬克思主義哲學專業
1141075,饒鳳翥,,1952,經濟與管理,中原大學財經學院合作系學習
1141075,饒鳳翥,1960,1963,社會科學與法律,中國人民大學黨史研究班學習
1142768,饒正錫,,,未知,武昌博文學院中學學習
1142768,饒正錫,1927,,自然科學,湖北省大冶縣普愛醫院學習
1142768,饒正錫,1938,,未知,中央黨校學習
1144523,饒斌,1931,,自然科學,同濟大學醫學院學習
1160626,饒南湖,,,,"雲南大學經濟學院政治經濟專業,獲經濟學博士學位"
1160626,饒南湖,,1987 / 7,,雲南省思茅地區景東一中
1160626,饒南湖,1989 / 7,1993 / 7,經濟與管理,福州大學財經學院計劃統計專業
1160626,饒南湖,2000 / 3,2002 / 1,經濟與管理,在職就讀江西財經大學MBA專業  獲工商管理碩士
1160626,饒南湖,2001 / 1,2002 / 4,經濟與管理,團中央中美青年赴美高級管理研修班  於美國密蘇里大學國際交流中心學習
1160626,饒南湖,2004 / 9,2009 / 1,社會科學與法律,"雲南大學經濟學院政治經濟專業,獲經濟學博士學位"
1160626,饒南湖,2005 / 9,2006 / 1,經濟與管理,雲南省委組織部赴美高級管理幹部培訓班  於美國聖荷賽大學國際學院學習
1165485,餘滌非,,,,華中農學院農業經濟系農業經濟管理專業本科畢業
1140302,顧雲飛,,1953 / 9,經濟與管理,北京鐵道學院經濟系
1140302,顧雲飛,1956 / 9,1958,經濟與管理,北京鐵道學院運輸經濟系攻讀研究生
1165824,顧軍,,,,上海交通大學核動力工程大學畢業，工商管理碩士
1143186,顧秉林,1965,1970,自然科學,清華大學工程物理系
1143186,顧秉林,1973 / 3,1975 / 7,自然科學,清華大學工程物理系研究生班
1143186,顧秉林,1978 / 9,1979 / 9,自然科學,清華大學工程物理系研究生班
1143186,顧秉林,1979,1982,自然科學,赴丹麥Aarhus大學，獲博士學位
1138237,顧秀蓮,1953 / 8,1954 / 9,未知,東北公安幹部學校
1138237,顧秀蓮,1958 / 7,1961 / 8,自然科學,瀋陽冶金機械專科學校機械系
